#{"t_start": 1649547155.229201, "env_id": "PongNoFrameskip-v4"}
r,l,t
-20.0,839,5.190216
-20.0,860,8.790975
-21.0,913,12.519498
-20.0,864,16.076666
-20.0,1053,20.239077
-20.0,955,24.091572
-21.0,820,27.671312
-20.0,915,31.438873
-21.0,785,34.539608
-20.0,838,37.92804
-21.0,938,41.835989
-21.0,823,45.179074
-21.0,779,48.493953
-19.0,1109,52.925179
-20.0,868,56.663135
-20.0,914,60.396609
-20.0,1105,64.69835
-21.0,823,68.184987
-20.0,1006,72.453135
-21.0,852,75.848295
-20.0,897,79.516753
-20.0,902,83.095775
-20.0,860,86.751223
-21.0,868,90.339092
-21.0,878,94.023329
-21.0,884,97.51584
-21.0,788,100.739048
-18.0,1119,105.29683
-20.0,955,109.263853
-21.0,821,112.549605
-21.0,908,116.177074
-21.0,936,120.208235
-21.0,883,123.612945
-21.0,779,126.942079
-21.0,967,130.909771
-20.0,898,134.609645
-20.0,867,138.210798
-20.0,840,141.601355
-20.0,1000,145.649154
-21.0,1178,150.645651
-21.0,817,154.041517
-20.0,1028,158.179164
-20.0,945,161.942615
-20.0,980,166.056451
-20.0,920,169.929243
-21.0,848,173.591086
-21.0,809,176.774078
-21.0,882,180.412533
-21.0,911,184.047194
-21.0,912,187.844881
-21.0,938,191.647879
-20.0,944,195.691575
-18.0,1143,200.352378
-20.0,1151,205.029195
-20.0,1019,209.312876
-19.0,1353,214.88379
-21.0,823,218.211305
-19.0,1202,223.296682
-17.0,1490,229.349932
-18.0,1176,234.214524
-20.0,1121,238.542445
-17.0,1399,244.44076
-21.0,1470,250.540408
-17.0,1768,257.554843
-17.0,1856,265.247438
-16.0,2005,273.308671
-16.0,1999,281.487638
-15.0,2415,291.244872
-15.0,2543,301.899642
-19.0,2060,310.149194
-20.0,1761,317.451712
-19.0,2071,325.851822
-16.0,1984,333.758455
-18.0,1849,341.461398
-16.0,1991,349.499779
-17.0,2404,359.279351
-15.0,2172,368.055143
-17.0,2300,377.300729
-16.0,2690,388.221694
-8.0,2812,399.702271
-18.0,1729,406.593863
-7.0,3092,419.242526
-4.0,3241,432.448756
-14.0,1902,440.090845
-5.0,3321,453.662526
-9.0,2222,462.756149
-9.0,2377,472.389285
-8.0,2591,483.041398
-5.0,2794,494.547403
-3.0,3396,508.342187
-1.0,3523,522.565552
4.0,3276,535.781333
12.0,2506,546.191017
11.0,2484,556.032106
-11.0,1940,563.997374
16.0,2362,573.683323
8.0,2944,585.642155
17.0,1812,592.86071
6.0,2636,603.779289
-1.0,3525,618.057503
5.0,3097,630.60661
6.0,2700,641.341273
19.0,1733,648.544706
12.0,2300,657.740144
10.0,2424,667.65343
18.0,1786,674.818209
7.0,3002,687.184561
17.0,2168,695.885568
14.0,2029,704.228663
17.0,1830,711.514974
20.0,1621,718.298114
17.0,1882,725.745179
2.0,3452,739.797842
20.0,1700,746.707045
-2.0,3416,760.583486
-4.0,3203,773.559991
14.0,2482,783.625157
19.0,1629,790.189481
15.0,2613,800.909184
1.0,3537,815.231687
5.0,3209,828.218385
20.0,1565,834.852952
20.0,1624,841.292415
20.0,1563,847.677248
20.0,1562,854.044098
12.0,2186,862.769086
20.0,2041,871.16535
16.0,2256,880.323357
14.0,2247,889.795516
9.0,2824,901.275025
-4.0,3126,913.907389
17.0,2066,922.516989
18.0,1786,929.699162
18.0,2126,938.4063
20.0,1627,945.045201
19.0,2152,953.555015
16.0,2321,963.132214
20.0,1564,969.43566
19.0,1633,976.254803
20.0,1624,982.701747
20.0,1622,989.492671
17.0,1934,997.493834
3.0,3409,1011.453583
19.0,1840,1018.888639
14.0,2089,1027.455496
14.0,2098,1036.035714
19.0,2033,1044.326738
7.0,3181,1057.332563
19.0,1771,1064.475188
19.0,2142,1073.333205
17.0,1868,1080.861072
19.0,1776,1088.115069
17.0,2137,1096.818634
19.0,2081,1105.339943
15.0,2317,1114.682926
13.0,2353,1124.290424
17.0,2229,1133.261561
18.0,2206,1142.277896
17.0,2339,1151.851391
16.0,2131,1160.526495
14.0,2438,1170.349699
20.0,1567,1176.860619
15.0,2372,1186.380746
20.0,2054,1194.963003
4.0,3362,1208.70701
19.0,1633,1215.390507
15.0,1824,1222.776392
14.0,2166,1231.736128
19.0,1765,1238.951313
18.0,1741,1245.856903
17.0,1892,1253.586947
15.0,2375,1263.253532
20.0,1563,1269.668276
18.0,1782,1276.929788
15.0,2096,1285.574553
18.0,1799,1292.662604
19.0,1630,1299.443413
21.0,2018,1307.600017
13.0,2262,1316.905639
16.0,2250,1326.070616
18.0,1737,1333.321327
18.0,1844,1340.764201
4.0,3577,1355.362402
15.0,2109,1363.86619
15.0,2236,1372.989375
19.0,2099,1381.501681
19.0,2165,1390.466248
19.0,1660,1397.213176
20.0,2002,1405.403844
21.0,2051,1413.793851
19.0,2136,1422.347013
18.0,1908,1430.114487
21.0,2052,1438.441132
19.0,1691,1445.30475
3.0,3411,1459.153442
18.0,2237,1468.356607
15.0,2051,1476.625063
20.0,1722,1483.703596
18.0,1870,1491.429578
17.0,1999,1499.370522
18.0,2168,1508.286093
12.0,2742,1519.313137
20.0,1623,1525.882373
19.0,2227,1534.983244
20.0,1684,1541.762891
20.0,1832,1549.329895
19.0,1634,1555.815145
16.0,2241,1565.071476
19.0,2137,1573.658064
17.0,2251,1582.819432
16.0,2083,1591.222843
18.0,1894,1598.982575
17.0,2311,1608.421644
20.0,1622,1615.025119
18.0,2215,1624.179261
20.0,1625,1630.740368
19.0,2135,1639.545906
20.0,1722,1646.299369
19.0,1730,1653.643704
19.0,1640,1660.131423
20.0,1993,1667.977813
20.0,2091,1676.651844
20.0,1997,1684.708247
15.0,2473,1694.689342
13.0,2139,1703.429667
18.0,1911,1711.225929
20.0,2005,1719.546206
19.0,1726,1726.403133
20.0,1995,1734.569589
19.0,1729,1741.602112
18.0,2045,1749.910275
19.0,1758,1756.976337
17.0,1941,1764.727605
19.0,1657,1771.661277
9.0,2848,1783.229887
20.0,1996,1791.408179
20.0,1995,1799.361583
17.0,1874,1807.120866
19.0,1718,1813.831516
20.0,1562,1820.209156
18.0,2177,1828.899728
19.0,1893,1836.531777
15.0,2163,1845.234874
20.0,1580,1851.545908
20.0,1992,1859.805052
20.0,1624,1866.376628
14.0,2112,1874.656704
5.0,3378,1888.565455
19.0,2223,1897.777974
19.0,1766,1904.777416
16.0,2163,1913.435571
19.0,2197,1922.394898
17.0,1989,1930.321747
20.0,1564,1936.819937
14.0,2794,1948.217844
19.0,1636,1955.058015
18.0,1820,1962.454744
18.0,2086,1970.760384
19.0,1709,1977.921848
19.0,1756,1984.891156
20.0,2088,1993.715449
17.0,1925,2001.318172
20.0,2123,2010.220329
17.0,1822,2017.494069
17.0,1944,2025.462208
12.0,2672,2036.12893
20.0,2101,2044.958194
13.0,2700,2055.829092
19.0,1735,2063.075909
19.0,2133,2071.696269
14.0,2366,2081.50213
19.0,2134,2090.070528
18.0,2134,2098.873474
19.0,1751,2105.99386
