#{"t_start": 1649547155.3152368, "env_id": "PongNoFrameskip-v4"}
r,l,t
-20.0,919,5.554396
-21.0,781,8.716615
-18.0,1154,13.420624
-20.0,1000,17.50653
-21.0,818,20.718493
-21.0,884,24.348485
-21.0,789,27.719906
-21.0,817,31.047793
-20.0,1006,35.188329
-19.0,1073,39.646554
-18.0,1255,44.607341
-20.0,835,48.253448
-19.0,1013,52.273364
-21.0,989,56.380893
-21.0,780,59.625957
-19.0,1368,65.062089
-21.0,780,68.289671
-20.0,837,71.907021
-21.0,879,75.515836
-21.0,911,79.224294
-20.0,1064,83.425848
-21.0,764,86.665211
-20.0,1141,91.326834
-20.0,965,95.333448
-20.0,839,98.736296
-21.0,848,102.269315
-20.0,855,105.674595
-21.0,854,109.216253
-21.0,819,112.502891
-21.0,909,116.128639
-21.0,883,119.858136
-21.0,1004,123.89438
-19.0,1141,128.554426
-20.0,892,132.401733
-21.0,822,135.646183
-20.0,838,139.210175
-20.0,980,143.107745
-21.0,877,146.754215
-21.0,945,150.824903
-19.0,1187,155.617057
-20.0,839,158.909065
-21.0,851,162.479879
-20.0,1094,167.058333
-21.0,781,170.304647
-21.0,942,174.246378
-19.0,996,178.348682
-21.0,856,181.779508
-21.0,1121,186.370463
-21.0,785,189.575703
-20.0,943,193.623612
-21.0,823,196.844671
-20.0,1159,201.54999
-20.0,941,205.602566
-21.0,1032,209.962125
-19.0,1047,214.178845
-20.0,919,217.922763
-16.0,1417,223.796475
-18.0,1208,228.746889
-19.0,1214,233.720675
-20.0,1221,238.485553
-21.0,973,242.596238
-18.0,1761,249.94677
-19.0,1610,256.332562
-19.0,1846,264.030739
-17.0,2025,272.02969
-15.0,2310,281.635926
-18.0,1860,289.120317
-19.0,1988,297.369924
-10.0,2338,306.800501
-18.0,1999,314.866386
-19.0,1970,323.067089
-13.0,2165,331.858759
-18.0,2161,340.739866
-15.0,2548,351.053674
-18.0,1981,359.058225
-17.0,2041,367.3456
-6.0,3461,381.237701
-10.0,2533,391.498759
-16.0,2064,400.015676
