#{"t_start": 1649682621.0002048, "env_id": "Reacher-v2"}
r,l,t
-167.365448,50,1.948836
-114.532384,50,1.99925
-137.456173,50,2.050024
-135.933234,50,2.101295
-96.421099,50,2.150993
-183.519707,50,2.201776
-133.014741,50,2.252526
-152.251205,50,2.303447
-105.252306,50,2.353961
-141.085002,50,2.403711
-153.392246,50,2.453908
-133.761723,50,2.504092
-135.534502,50,2.554495
-121.995572,50,2.604193
-114.710377,50,2.654591
-157.023466,50,2.705475
-116.923063,50,2.754952
-133.708122,50,2.8055
-102.554065,50,2.855964
-116.617503,50,2.906446
-141.354872,50,2.955147
-168.62177,50,3.004938
-100.871304,50,3.057607
-133.657398,50,3.107494
-99.491056,50,3.157279
-130.827269,50,3.207123
-114.847427,50,3.256933
-119.869772,50,3.307247
-127.437022,50,3.357821
-145.191723,50,3.407584
-125.041301,50,3.457859
-93.790827,50,3.507682
-124.080368,50,3.557586
-94.414014,50,3.607321
-113.762947,50,3.656806
-121.925358,50,3.70672
-131.519075,50,3.756334
-161.145041,50,3.806495
-105.809226,50,3.856558
-101.961992,50,3.906483
-116.97473,50,5.336363
-125.089574,50,5.387441
-88.492249,50,5.437703
-144.71183,50,5.487693
-127.957503,50,5.538231
-102.181036,50,5.588638
-105.284037,50,5.6396
-104.588161,50,5.690123
-117.685085,50,5.741161
-124.159795,50,5.792021
-132.222848,50,5.842553
-176.635701,50,5.893465
-110.294687,50,5.943999
-153.001876,50,5.994529
-105.53601,50,6.044824
-119.76209,50,6.094913
-130.883401,50,6.145124
-103.40415,50,6.196854
-116.558929,50,6.24684
-122.618811,50,6.296771
-130.669545,50,6.347696
-115.143018,50,6.398067
-124.315325,50,6.448854
-98.028034,50,6.498412
-117.45915,50,6.548676
-140.680709,50,6.598624
-105.935255,50,6.649165
-114.570879,50,6.699421
-108.752721,50,6.749538
-102.147744,50,6.800805
-101.045978,50,6.850984
-100.270082,50,6.900975
-107.593007,50,6.951867
-119.328127,50,7.001998
-98.623338,50,7.052221
-109.023291,50,7.102054
-149.006528,50,7.152172
-112.739818,50,7.204347
-130.235308,50,7.254483
-121.394773,50,7.304888
-126.083359,50,7.355273
-101.092587,50,8.760552
-93.533299,50,8.810201
-111.93354,50,8.86047
-139.158351,50,8.911458
-122.473976,50,8.961419
-103.992421,50,9.010575
-123.636846,50,9.061657
-92.654284,50,9.111944
-115.627544,50,9.163414
-80.908524,50,9.214034
-92.841332,50,9.265016
-81.163168,50,9.315681
-117.540785,50,9.366144
-110.698521,50,9.417542
-139.253897,50,9.481544
-97.658923,50,9.532476
-99.610006,50,9.582837
-111.225783,50,9.632933
-91.096027,50,9.68359
-117.778838,50,9.735002
-129.973067,50,9.785999
-116.565708,50,9.837868
-104.142481,50,9.888603
-96.375094,50,9.939861
-119.047776,50,9.989687
-103.131264,50,10.040344
-103.168324,50,10.090295
-93.464475,50,10.140731
-110.360389,50,10.190936
-95.79967,50,10.241459
-107.150189,50,10.292522
-115.205542,50,10.344588
-98.553112,50,10.394525
-96.056541,50,10.444525
-90.584685,50,10.494408
-100.833791,50,10.545349
-97.852793,50,10.596114
-107.883273,50,10.645529
-118.88723,50,10.695301
-92.956754,50,10.7452
-95.239692,50,10.795606
-136.37896,50,12.22418
-80.513371,50,12.27074
-91.44716,50,12.317301
-90.85471,50,12.365863
-109.718594,50,12.413739
-132.156766,50,12.461007
-120.560041,50,12.50809
-111.341748,50,12.555396
-120.647372,50,12.603748
-134.184229,50,12.654513
-119.69516,50,12.705652
-89.882412,50,12.756485
-118.204529,50,12.806473
-109.744787,50,12.859456
-99.646664,50,12.909762
-118.788604,50,12.959056
-83.806911,50,13.009797
-97.072721,50,13.059838
-106.24751,50,13.108858
-98.894165,50,13.159493
-104.699338,50,13.210301
-103.564677,50,13.26107
-82.745771,50,13.311601
-109.496336,50,13.361796
-106.409814,50,13.413033
-84.077949,50,13.464586
-78.64268,50,13.514952
-132.016884,50,13.56585
-105.355287,50,13.61693
-91.532314,50,13.667643
-105.540814,50,13.717577
-90.063611,50,13.768398
-92.135773,50,13.819479
-96.320282,50,13.870223
-113.548126,50,13.921135
-101.069581,50,13.971596
-102.92915,50,14.022418
-80.119818,50,14.072439
-78.156419,50,14.123348
-110.178827,50,14.174749
-93.309141,50,14.22634
-134.40165,50,15.66375
-94.821309,50,15.713468
-96.345206,50,15.762738
-88.096231,50,15.811855
-79.361135,50,15.860898
-93.20179,50,15.909987
-95.231887,50,15.958616
-84.74668,50,16.008845
-83.373079,50,16.058633
-103.744658,50,16.10772
-103.678875,50,16.157734
-93.821771,50,16.207232
-105.212045,50,16.256506
-111.219712,50,16.302627
-89.754512,50,16.348781
-79.246794,50,16.394909
-81.957584,50,16.440912
-103.220926,50,16.489031
-87.479749,50,16.536037
-89.645909,50,16.582505
-78.438733,50,16.629731
-84.394479,50,16.67629
-80.654764,50,16.724483
